,4461
r,5.060858487146866
stdev,0.4673616440792202
sharpe,10.828570447019876
BNT/ETH,0.021979497662092153
SNT/ETH,0.4837508291884573
ENJ/ETH,0.0742803703431216
LEND/ETH,0.02853521460464917
LRC/ETH,0.2148625053050082
POWR/ETH,0.16748537112547907
ETH/ETH,0.009106211771192365
