,timestamp,date,source,symbol,open,total_volume
66,1604275200000,2020-11-02,ccxt_binance,ELF/ETH,0.00021544,111058.0
67,1604361600000,2020-11-03,ccxt_binance,ELF/ETH,0.0002148,241259.0
68,1604448000000,2020-11-04,ccxt_binance,ELF/ETH,0.00020064,133931.0
69,1604534400000,2020-11-05,ccxt_binance,ELF/ETH,0.00019408,154212.0
70,1604016000000,2020-10-30,ccxt_binance,BNT/ETH,0.001622,250248.58
71,1604102400000,2020-10-31,ccxt_binance,BNT/ETH,0.001557,95393.97
72,1604188800000,2020-11-01,ccxt_binance,BNT/ETH,0.001529,30654.71
73,1604275200000,2020-11-02,ccxt_binance,BNT/ETH,0.001541,60193.04
74,1604361600000,2020-11-03,ccxt_binance,BNT/ETH,0.001555,36440.46
75,1604448000000,2020-11-04,ccxt_binance,BNT/ETH,0.001448,58764.43
76,1604534400000,2020-11-05,ccxt_binance,BNT/ETH,0.001331,24271.91
77,1604016000000,2020-10-30,ccxt_binance,SNT/ETH,5.654e-05,663340.0
78,1604102400000,2020-10-31,ccxt_binance,SNT/ETH,5.471e-05,565336.0
79,1604188800000,2020-11-01,ccxt_binance,SNT/ETH,5.474e-05,172582.0
80,1604275200000,2020-11-02,ccxt_binance,SNT/ETH,5.365e-05,1501885.0
81,1604361600000,2020-11-03,ccxt_binance,SNT/ETH,5.236e-05,2182042.0
82,1604448000000,2020-11-04,ccxt_binance,SNT/ETH,5.024e-05,901357.0
83,1604534400000,2020-11-05,ccxt_binance,SNT/ETH,4.93e-05,1935509.0
84,1604016000000,2020-10-30,ccxt_binance,ENJ/ETH,0.00034347,592466.0
85,1604102400000,2020-10-31,ccxt_binance,ENJ/ETH,0.00033105,421798.0
86,1604188800000,2020-11-01,ccxt_binance,ENJ/ETH,0.00032938,445988.0
87,1604275200000,2020-11-02,ccxt_binance,ENJ/ETH,0.00031985,504820.0
88,1604361600000,2020-11-03,ccxt_binance,ENJ/ETH,0.00031597,787532.0
89,1604448000000,2020-11-04,ccxt_binance,ENJ/ETH,0.00030762,772485.0
90,1604534400000,2020-11-05,ccxt_binance,ENJ/ETH,0.00029352,404870.0
91,1601942400000,2020-10-06,ccxt_binance,LEND/ETH,0.00147199,1831851.0
92,1602028800000,2020-10-07,ccxt_binance,LEND/ETH,0.00127729,1704958.0
93,1602115200000,2020-10-08,ccxt_binance,LEND/ETH,0.00135152,1066910.0
94,1602201600000,2020-10-09,ccxt_binance,LEND/ETH,0.00130454,1034125.0
95,1602288000000,2020-10-10,ccxt_binance,LEND/ETH,0.00136331,667545.0
96,1602374400000,2020-10-11,ccxt_binance,LEND/ETH,0.00138097,551582.0
97,1602460800000,2020-10-12,ccxt_binance,LEND/ETH,0.00134602,35021.0
98,1604016000000,2020-10-30,ccxt_binance,LRC/ETH,0.00034437,942586.0
99,1604102400000,2020-10-31,ccxt_binance,LRC/ETH,0.00033515,569492.0
100,1604188800000,2020-11-01,ccxt_binance,LRC/ETH,0.0003737,744277.0
101,1604275200000,2020-11-02,ccxt_binance,LRC/ETH,0.00037629,449606.0
102,1604361600000,2020-11-03,ccxt_binance,LRC/ETH,0.00036127,213951.0
103,1604448000000,2020-11-04,ccxt_binance,LRC/ETH,0.00033697,745128.0
104,1604534400000,2020-11-05,ccxt_binance,LRC/ETH,0.00030955,567459.0
105,1604016000000,2020-10-30,ccxt_binance,POWR/ETH,0.00020127,266933.0
106,1604102400000,2020-10-31,ccxt_binance,POWR/ETH,0.00019698,137047.0
107,1604188800000,2020-11-01,ccxt_binance,POWR/ETH,0.00020225,91613.0
108,1604275200000,2020-11-02,ccxt_binance,POWR/ETH,0.00019997,135561.0
109,1604361600000,2020-11-03,ccxt_binance,POWR/ETH,0.00019572,134028.0
110,1604448000000,2020-11-04,ccxt_binance,POWR/ETH,0.0001942,1299891.0
111,1604534400000,2020-11-05,ccxt_binance,POWR/ETH,0.00020463,490471.0
112,1604016000000,2020-10-30,coingecko,POLY_ETH,0.0001090962485140985,7423.217031473075
113,1604102400000,2020-10-31,coingecko,POLY_ETH,0.00011408984060002584,16706.180157700324
114,1604188800000,2020-11-01,coingecko,POLY_ETH,0.00011266245667317372,7970.715712900129
115,1604275200000,2020-11-02,coingecko,POLY_ETH,0.00010972922822055836,7057.511501855527
